 1st    2nd   f1_avg 
  1.00   0.00  17.79 
  1.00   1.00  21.19 
  1.00   2.00  32.65 
  1.00   3.00  39.41 
  1.00   4.00  40.74 
  1.00   5.00  40.03 
  1.00   6.00  43.72 
  1.00   7.00  12.20 
  1.00   8.00  27.82 
  1.00   9.00  25.17 
  1.00  10.00  15.59 
  1.00  11.00  19.05 
  1.00  12.00  29.38 
  1.00  13.00  19.25 
  1.00  14.00  13.79 
  1.00  15.00  19.47 
  1.00  16.00  27.18 
  1.00  17.00  13.62 
  1.00  18.00  13.73 
  1.00  19.00  20.01 
  1.00  20.00  20.13 
  1.00  21.00  21.20 
  1.00  22.00  12.45 
  1.00  23.00  17.50 
  1.00  24.00  26.01 
  1.00  25.00  18.34 
  1.00  26.00  19.56 
  1.00  27.00  16.99 
  1.00  28.00  11.55 
  1.00  29.00  21.81 
  1.00  30.00  23.23 
  1.00  31.00  23.54 
  1.00  32.00  21.69 
  1.00  33.00  27.65 
  1.00  34.00  24.46 
  1.00  35.00  32.89 
  1.00  36.00  23.98 
  1.00  37.00  24.69 
  1.00  38.00  20.64 
  1.00  39.00  16.47 
  1.00  40.00  16.50 
  1.00  41.00  22.21 
  1.00  42.00  26.07 
  1.00  43.00  28.51 
  1.00  44.00  20.64 
  1.00  45.00  20.50 
  1.00  46.00  26.77 
  1.00  47.00  22.50 
  1.00  48.00  22.62 
  1.00  49.00  21.91 
  1.00  50.00  22.80 
  2.00   0.00  37.48 
  2.00   1.00  21.42 
  2.00   2.00  36.95 
  2.00   3.00  49.89 
  2.00   4.00  42.63 
  2.00   5.00  45.28 
  2.00   6.00  53.78 
  2.00   7.00  54.34 
  2.00   8.00  60.95 
  2.00   9.00  49.99 
  2.00  10.00  43.85 
  2.00  11.00  61.56 
  2.00  12.00  60.78 
  2.00  13.00  49.48 
  2.00  14.00  53.36 
  2.00  15.00  49.09 
  2.00  16.00  58.71 
  2.00  17.00  57.50 
  2.00  18.00  57.76 
  2.00  19.00  39.27 
  2.00  20.00  54.22 
  2.00  21.00  50.73 
  2.00  22.00  43.99 
  2.00  23.00  45.11 
  2.00  24.00  52.26 
  2.00  25.00  19.79 
  2.00  26.00  40.66 
  2.00  27.00  31.38 
  2.00  28.00  48.76 
  2.00  29.00  61.63 
  2.00  30.00  24.44 
  2.00  31.00  28.82 
  2.00  32.00  21.09 
  2.00  33.00  41.18 
  2.00  34.00  32.51 
  2.00  35.00  35.43 
  2.00  36.00  46.70 
  2.00  37.00  37.18 
  2.00  38.00  26.24 
