 1st    2nd   f1_avg   time_to_run
  1.00   0.00  26.37   0.00 
  1.00   1.00  19.47   0.00 
  1.00   2.00  32.94   0.00 
  1.00   3.00  32.59   0.00 
  1.00   4.00  33.83   0.00 
  1.00   5.00  42.14   0.00 
  1.00   6.00  39.33   0.00 
  1.00   7.00  36.60   0.00 
  1.00   8.00  48.52   0.00 
  1.00   9.00  33.54   0.00 
  1.00  10.00  46.06   0.00 
  1.00  11.00  25.30   0.00 
  1.00  12.00  37.91   0.00 
  1.00  13.00  45.92   0.00 
  1.00  14.00  24.33   0.00 
  1.00  15.00  32.66   0.00 
  1.00  16.00  28.68   0.00 
  1.00  17.00  33.67   0.00 
  1.00  18.00  25.54   0.00 
  1.00  19.00  29.76   0.00 
  1.00  20.00  24.66   0.00 
  1.00  21.00  24.06   0.00 
  1.00  22.00  22.81   0.00 
  1.00  23.00  23.31   0.00 
  1.00  24.00  23.48   0.00 
  1.00  25.00  32.00   0.00 
  1.00  26.00  28.55   0.00 
  1.00  27.00  28.95   0.00 
  1.00  28.00  30.40   0.00 
  1.00  29.00  27.85   0.00 
  1.00  30.00  31.15   0.00 
  2.00   0.00  37.44   0.00 
  2.00   1.00  20.55   0.00 
  2.00   2.00  35.34   0.00 
  2.00   3.00  48.26   0.00 
  2.00   4.00  41.31   0.00 
  2.00   5.00  59.24   0.00 
  2.00   6.00  48.86   0.00 
  2.00   7.00  50.05   0.00 
  2.00   8.00  63.76   0.00 
  2.00   9.00  44.79   0.00 
  2.00  10.00  53.70   0.00 
  2.00  11.00  58.65   0.00 
  2.00  12.00  72.54   0.00 
  2.00  13.00  65.16   0.00 
  2.00  14.00  40.95   0.00 
  2.00  15.00  69.74   0.00 
  2.00  16.00  68.09   0.00 
  2.00  17.00  64.44   0.00 
  2.00  18.00  59.27   0.00 
  2.00  19.00  68.96   0.00 
  2.00  20.00  49.11   0.00 
  2.00  21.00  41.42   0.00 
  2.00  22.00  46.09   0.00 
  2.00  23.00  65.50   0.00 
  2.00  24.00  39.81   0.00 
  2.00  25.00  55.88   0.00 
  2.00  26.00  65.42   0.00 
  2.00  27.00  63.37   0.00 
  2.00  28.00  50.30   0.00 
  2.00  29.00  40.01   0.00 
  2.00  30.00  32.74   0.00 
  3.00   0.00  37.45   0.00 
  3.00   1.00  26.33   0.00 
  3.00   2.00  37.70   0.00 
  3.00   3.00  48.77   0.00 
  3.00   4.00  69.90   0.00 
  3.00   5.00  64.20   0.00 
  3.00   6.00  77.34   0.00 
  3.00   7.00  71.72   0.00 
  3.00   8.00  75.77   0.00 
  3.00   9.00  79.18   0.00 
  3.00  10.00  75.20   0.00 
  3.00  11.00  74.59   0.00 
  3.00  12.00  76.80   0.00 
